date,forecast
2026-01-01,8279.46279176329
2026-02-01,8513.768015517546
2026-03-01,8194.92846141499
2026-04-01,8230.784120420736
2026-05-01,8049.697388520468
2026-06-01,8217.261216639274
2026-07-01,8650.66591736417
2026-08-01,8789.20595131068
2026-09-01,8779.584222108348
2026-10-01,8831.429101859925
2026-11-01,8621.173989634804
2026-12-01,8722.908123150368
2027-01-01,8592.523412594412
2027-02-01,8936.421798245427
2027-03-01,8581.994037781835
2027-04-01,8538.947850928353
2027-05-01,8409.021404123645
2027-06-01,8624.138928108432
2027-07-01,9156.572734775444
2027-08-01,9290.222163992099
2027-09-01,9156.528498375686
2027-10-01,9172.95251179388
2027-11-01,8962.73780315259
2027-12-01,9143.178900083829
2028-01-01,8992.74384735254
2028-02-01,9324.182072111202
2028-03-01,8973.800502007072
2028-04-01,8939.725036524787
2028-05-01,8803.98193667626
2028-06-01,9013.692857679825
2028-07-01,9534.867580279346
2028-08-01,9669.073045312685
2028-09-01,9549.485700754429
2028-10-01,9569.936878792583
2028-11-01,9359.717576478124
2028-12-01,9531.210109152671
2029-01-01,9383.054673974115
2029-02-01,9715.90955293407
2029-03-01,9365.067952448193
2029-04-01,9329.972563529209
2029-05-01,9194.890786278616
2029-06-01,9405.216409363018
2029-07-01,9927.671230099691
2029-08-01,10061.813476810044
2029-09-01,9940.622318371334
2029-10-01,9960.615629153403
2029-11-01,9750.396849115217
2029-12-01,9922.90678608007
2030-01-01,9774.492170477495
2030-02-01,10107.185983369094
2030-03-01,9756.396685897489
2030-04-01,9721.4172568633
2030-05-01,9586.260290741162
2030-06-01,9796.516025459523
2030-07-01,10318.825305827999
2030-08-01,10452.974740126348
2030-09-01,10331.96592681877
2030-10-01,10352.0112946792
2030-11-01,10141.792455260971
2030-12-01,10314.186718754614
2031-01-01,10165.801570591486
2031-02-01,10498.513695840715
2031-03-01,10147.718451793819
2031-04-01,10112.725838735812
2031-05-01,9977.577421189544
2031-06-01,10187.841101844417
2031-07-01,10710.16692938077
2031-08-01,10844.31554648849
2031-09-01,10723.28600150671
2031-10-01,10743.325450753457
2031-11-01,10533.106618086424
2031-12-01,10705.51403304018
2032-01-01,10557.125534585488
2032-02-01,10889.83557781679
2032-03-01,10539.041009863962
2032-04-01,10504.04989575953
2032-05-01,10368.900506285532
2032-06-01,10579.163283529571
2032-07-01,11101.487229740707
2032-08-01,11235.635939758668
2032-09-01,11114.608751858279
2032-10-01,11134.648874020007
2032-11-01,10924.430040585397
2032-12-01,11096.835960287897
2033-01-01,10948.447842743586
2033-02-01,11281.158122689283
2033-03-01,10930.363477868146
2033-04-01,10895.372193340645
2033-05-01,10760.222914369673
2033-06-01,10970.485794326733
2033-07-01,11492.809954434566
2033-08-01,11626.958653889127
2033-09-01,11505.931198001086
2033-10-01,11525.97124365595
2033-11-01,11315.75241030861
2033-12-01,11488.158500013247
2034-01-01,11339.770339161447
2034-02-01,11672.480592193973
2034-03-01,11321.685956112355
2034-04-01,11286.694690961052
2034-05-01,11151.545399426472
2034-06-01,11361.808267705608
2034-07-01,11884.132403494521
2034-08-01,12018.28110415008
2034-09-01,11897.253678730816
2034-10-01,11917.293733084105
2034-11-01,11707.074899726844
2034-12-01,11879.48097010314
2035-01-01,11731.092814175172
2035-02-01,12063.803070267582
2035-03-01,11713.008433192326
2035-04-01,11678.017165838053
2035-05-01,11542.86787573189
2035-06-01,11753.130745338742
2035-07-01,12275.45488389259
2035-08-01,12409.6035844116
2035-09-01,12288.576155528199
2035-10-01,12308.616208892523
2035-11-01,12098.397375536391
2035-12-01,12270.803448110217
