date,forecast
2026-01-01,8098.062949874969
2026-02-01,8389.50219373759
2026-03-01,8551.459769661642
2026-04-01,9983.520662208812
2026-05-01,11266.762771728696
2026-06-01,9521.209191800013
2026-07-01,9376.67196674421
2026-08-01,8980.32089236835
2026-09-01,7898.699325736817
2026-10-01,10166.376205824658
2026-11-01,8433.55475683209
2026-12-01,9089.040513846723
2027-01-01,8549.578014743205
2027-02-01,8955.235251202406
2027-03-01,9071.497250258626
2027-04-01,10621.41590180386
2027-05-01,11958.038967606006
2027-06-01,10076.00199621444
2027-07-01,9831.398758643378
2027-08-01,9415.961869327006
2027-09-01,8345.307420822233
2027-10-01,10764.898756686005
2027-11-01,8942.822488268292
2027-12-01,9647.567369607657
2028-01-01,9080.850814583739
2028-02-01,9493.229017640133
2028-03-01,9606.802136960492
2028-04-01,11163.655931064466
2028-05-01,12503.420109890365
2028-06-01,10613.352001773123
2028-07-01,10362.860547185403
2028-08-01,9946.300585034562
2028-09-01,8876.29147823927
2028-10-01,11304.82196597981
2028-11-01,9477.493647107125
2028-12-01,10185.137099167798
2029-01-01,9616.816824840893
2029-02-01,10029.590511927194
2029-03-01,10143.005408620123
2029-04-01,11700.267289579975
2029-05-01,13040.216301944181
2029-06-01,11149.67561502878
2029-07-01,10898.837678166368
2029-08-01,10482.21163067437
2029-09-01,9412.240497931807
2029-10-01,11841.296995102248
2029-11-01,10013.659628111385
2029-12-01,10721.473641714545
2030-01-01,10153.058999209552
2030-02-01,10565.855957891632
2030-03-01,10679.261544238883
2030-04-01,12236.547438386713
2030-05-01,13576.50732697111
2030-06-01,11685.93883194733
2030-07-01,11435.080506915403
2030-08-01,11018.450570742121
2030-09-01,9948.48167251913
2030-10-01,12377.569121834038
2030-11-01,10549.913569423945
2030-12-01,11257.737619435587
2031-01-01,10689.317423993107
2031-02-01,11102.115752053289
2031-03-01,11215.52079054883
2031-04-01,12772.808097712517
2031-05-01,14112.768626289886
2031-06-01,12222.198494944512
2031-07-01,11971.338970204877
2031-08-01,11554.708805208655
2031-09-01,10484.740038472226
2031-10-01,12913.829309114271
2031-11-01,11086.172686613618
2031-12-01,11793.997327200921
2032-01-01,11225.576805005128
2032-02-01,11638.375213644073
2032-03-01,11751.780219902199
2032-04-01,13309.067610212438
2032-05-01,14649.028176449123
2032-06-01,12758.457948817144
2032-07-01,12507.598353482717
2032-08-01,12090.968175021791
2032-09-01,11020.999416022469
2032-10-01,13450.088793837462
2032-11-01,11622.432108369125
2032-12-01,12330.25678370786
2033-01-01,11761.836242284817
2033-02-01,12174.634655665284
2033-03-01,12288.039660026452
2033-04-01,13845.32705522931
2033-05-01,15185.287623681996
2033-06-01,13294.71739038419
2033-07-01,13043.857790895732
2033-08-01,12627.227611642496
2033-09-01,11557.258853098452
2033-10-01,13986.348237219856
2033-11-01,12158.691548046289
2033-12-01,12866.516225429916
2034-01-01,12298.095682875477
2034-02-01,12710.89409653495
2034-03-01,12824.299100784496
2034-04-01,14381.586496275253
2034-05-01,15721.547064858332
2034-06-01,13830.976831227134
2034-07-01,13580.117231494236
2034-08-01,13163.487052194381
2034-09-01,12093.518293677127
2034-10-01,14522.607678169621
2034-11-01,12694.950988778026
2034-12-01,13402.775666281981
2035-01-01,12834.355123660967
2035-02-01,13247.153537336859
2035-03-01,13360.558541579836
2035-04-01,14917.845937087532
2035-05-01,16257.806505678287
2035-06-01,14367.23627202747
2035-07-01,14116.376672280192
2035-08-01,13699.74649297759
2035-09-01,12629.777734461913
2035-10-01,15058.867118976244
2035-11-01,13231.210429571818
2035-12-01,13939.035107082855
