date,forecast,ci80_lower,ci80_upper,ci95_lower,ci95_upper
2026-01-01,161.75852572183754,-2056.1234390978684,2379.6404905415434,-3234.373232908337,3557.890284352012
2026-02-01,4267.342541321517,2049.4605765018114,6485.224506141223,871.210782691343,7663.474299951691
2026-03-01,8200.622499654346,5982.74053483464,10418.504464474052,4804.490741024172,11596.75425828452
2026-04-01,7748.424472191156,5530.5425073714505,9966.306437010862,4352.2927135609825,11144.55623082133
2026-05-01,8105.604718491236,5887.72275367153,10323.48668331094,4709.472959861061,11501.73647712141
2026-06-01,8587.238232071159,6369.356267251453,10805.120196890864,5191.106473440985,11983.369990701332
2026-07-01,9686.551951244779,7468.669986425073,11904.433916064485,6290.420192614605,13082.683709874953
2026-08-01,9839.46321282739,7621.581248007684,12057.345177647096,6443.331454197216,13235.594971457564
2026-09-01,8693.461865949312,6475.579901129606,10911.343830769018,5297.330107319138,12089.593624579486
2026-10-01,8402.821358006106,6184.9393931864,10620.703322825811,5006.689599375932,11798.95311663628
2026-11-01,8641.316458839294,6423.434494019588,10859.198423659,5245.18470020912,12037.448217469468
2026-12-01,9577.810271204948,7359.928306385242,11795.692236024654,6181.678512574774,12973.942029835122
2027-01-01,169.38561170609694,-2048.496353113609,2387.2675765258027,-3226.7461469240775,3565.517370336271
2027-02-01,4467.764756389636,2249.8827915699303,6685.646721209342,1071.632997759462,7863.896515019811
2027-03-01,8584.275603054946,6366.39363823524,10802.157567874652,5188.143844424772,11980.40736168512
2027-04-01,8109.514457035403,5891.632492215697,10327.396421855108,4713.382698405228,11505.646215665578
2027-05-01,8481.878669299043,6263.9967044793375,10699.76063411875,5085.7469106688695,11878.010427929217
2027-06-01,8984.334163013978,6766.452198194273,11202.216127833684,5588.202404383805,12380.465921644152
2027-07-01,10132.763472288045,7914.881507468339,12350.64543710775,6736.631713657871,13528.895230918219
2027-08-01,10290.985316674441,8073.103351854736,12508.867281494147,6894.853558044268,13687.117075304615
2027-09-01,9090.875493813739,6872.993528994033,11308.757458633445,5694.743735183565,12487.007252443913
2027-10-01,8785.490839879225,6567.608875059519,11003.37280469893,5389.359081249051,12181.622598509399
2027-11-01,9033.359327324257,6815.477362504551,11251.241292143963,5637.227568694083,12429.49108595443
2027-12-01,10010.703742605567,7792.821777785861,12228.585707425273,6614.571983975393,13406.83550123574
2028-01-01,177.01269769035636,-2040.8692671293495,2394.894662510062,-3219.119060939818,3573.1444563205305
2028-02-01,4668.186971457755,2450.3050066380492,6886.068936277461,1272.0552128275808,8064.318730087929
2028-03-01,8967.928706455545,6750.046741635839,11185.81067127525,5571.796947825371,12364.060465085719
2028-04-01,8470.604441879652,6252.722477059946,10688.486406699358,5074.472683249478,11866.736200509826
2028-05-01,8858.15262010685,6640.270655287144,11076.034584926556,5462.020861476676,12254.284378737024
2028-06-01,9381.430093956798,7163.5481291370925,11599.312058776504,5985.2983353266245,12777.561852586972
2028-07-01,10578.974993331312,8361.093028511606,12796.856958151018,7182.8432347011385,13975.106751961486
2028-08-01,10742.507420521491,8524.625455701786,12960.389385341197,7346.375661891318,14138.639179151665
2028-09-01,9488.289121678165,7270.407156858459,11706.17108649787,6092.157363047991,12884.420880308338
2028-10-01,9168.160321752344,6950.278356932638,11386.04228657205,5772.02856312217,12564.292080382518
2028-11-01,9425.402195809222,7207.520230989516,11643.284160628928,6029.270437179048,12821.533954439396
2028-12-01,10443.597214006182,8225.715249186476,12661.479178825888,7047.465455376008,13839.728972636356
2029-01-01,184.63978367461576,-2033.2421811450902,2402.521748494322,-3211.4919749555584,3580.7715423047903
2029-02-01,4868.609186525874,2650.727221706168,7086.49115134558,1472.4774278956997,8264.740945156049
2029-03-01,9351.581809856145,7133.699845036439,11569.46377467585,5955.450051225971,12747.713568486319
2029-04-01,8831.694426723901,6613.8124619041955,11049.576391543607,5435.562668093728,12227.826185354075
2029-05-01,9234.426570914657,7016.544606094951,11452.308535734363,5838.294812284483,12630.55832954483
2029-06-01,9778.52602489962,7560.644060079914,11996.407989719326,6382.394266269446,13174.657783529794
2029-07-01,11025.18651437458,8807.304549554874,13243.068479194286,7629.054755744406,14421.318273004754
2029-08-01,11194.029524368541,8976.147559548835,13411.911489188247,7797.8977657383675,14590.161282998715
2029-09-01,9885.702749542592,7667.820784722886,12103.584714362298,6489.570990912418,13281.834508172766
2029-10-01,9550.829803625466,7332.94783880576,11768.711768445171,6154.698044995292,12946.96156225564
2029-11-01,9817.445064294183,7599.563099474477,12035.327029113889,6421.313305664009,13213.576822924357
2029-12-01,10876.490685406801,8658.608720587095,13094.372650226507,7480.358926776627,14272.622444036975
2030-01-01,192.26686965887518,-2025.6150951608306,2410.148834478581,-3203.864888971299,3588.3986282890496
2030-02-01,5069.031401593992,2851.149436774286,7286.913366413698,1672.8996429638178,8465.163160224167
2030-03-01,9735.234913256743,7517.352948437037,11953.11687807645,6339.103154626569,13131.366671886917
2030-04-01,9192.78441156815,6974.902446748443,11410.666376387855,5796.652652937975,12588.916170198323
2030-05-01,9610.700521722463,7392.818556902757,11828.58248654217,6214.568763092289,13006.832280352637
2030-06-01,10175.621955842442,7957.739991022736,12393.503920662148,6779.490197212268,13571.753714472616
2030-07-01,11471.398035417846,9253.51607059814,13689.280000237552,8075.266276787672,14867.52979404802
2030-08-01,11645.551628215591,9427.669663395885,13863.433593035297,8249.419869585417,15041.683386845765
2030-09-01,10283.11637740702,8065.234412587313,12500.998342226725,6886.984618776845,13679.248136037193
2030-10-01,9933.499285498583,7715.617320678877,12151.381250318289,6537.367526868409,13329.631044128757
2030-11-01,10209.487932779146,7991.60596795944,12427.369897598852,6813.356174148972,13605.61969140932
2030-12-01,11309.38415680742,9091.502191987714,13527.266121627126,7913.2523981772465,14705.515915437594
2031-01-01,199.89395564313457,-2017.9880091765713,2417.7759204628405,-3196.2378029870397,3596.025714273309
2031-02-01,5269.453616662111,3051.571651842405,7487.335581481817,1873.3218580319367,8665.585375292285
2031-03-01,10118.888016657344,7901.006051837638,12336.76998147705,6722.75625802717,13515.019775287517
2031-04-01,9553.874396412397,7335.992431592691,11771.756361232103,6157.742637782223,12950.00615504257
2031-05-01,9986.97447253027,7769.092507710564,12204.856437349976,6590.842713900096,13383.106231160444
2031-06-01,10572.717886785262,8354.835921965556,12790.599851604968,7176.586128155088,13968.849645415436
2031-07-01,11917.609556461113,9699.727591641407,14135.49152128082,8521.47779783094,15313.741315091287
2031-08-01,12097.073732062643,9879.191767242937,14314.955696882349,8700.94197343247,15493.205490692817
2031-09-01,10680.530005271446,8462.64804045174,12898.411970091152,7284.398246641273,14076.66176390162
2031-10-01,10316.168767371704,8098.286802551998,12534.05073219141,6920.03700874153,13712.300526001878
2031-11-01,10601.53080126411,8383.648836444405,12819.412766083817,7205.399042633937,13997.662559894285
2031-12-01,11742.277628208036,9524.39566338833,13960.159593027742,8346.145869577862,15138.40938683821
2032-01-01,207.521041627394,-2010.360923192312,2425.4030064471,-3188.6107170027803,3603.6528002575683
2032-02-01,5469.87583173023,3251.993866910524,7687.757796549936,2073.7440731000556,8866.007590360405
2032-03-01,10502.541120057942,8284.659155238236,12720.423084877648,7106.409361427768,13898.672878688116
2032-04-01,9914.964381256645,7697.082416436939,12132.84634607635,6518.832622626471,13311.096139886818
2032-05-01,10363.248423338078,8145.366458518372,12581.130388157784,6967.116664707904,13759.380181968252
2032-06-01,10969.813817728082,8751.931852908376,13187.695782547788,7573.682059097908,14365.945576358255
2032-07-01,12363.82107750438,10145.939112684675,14581.703042324087,8967.689318874207,15759.952836134555
2032-08-01,12548.595835909693,10330.713871089987,14766.477800729399,9152.46407727952,15944.727594539867
2032-09-01,11077.943633135872,8860.061668316166,13295.825597955578,7681.811874505698,14474.075391766046
2032-10-01,10698.838249244824,8480.956284425118,12916.72021406453,7302.70649061465,14094.970007874997
2032-11-01,10993.573669749074,8775.691704929368,13211.45563456878,7597.4419111189,14389.705428379248
2032-12-01,12175.171099608655,9957.289134788949,14393.05306442836,8779.039340978481,15571.302858238829
