date,total_demand,primary_demand,secondary_demand,tertiary_demand,residential_demand
2010-02-01,3567.032909379508,70.80650722731855,2726.151579700927,358.1599491105014,411.9148733407606
2010-03-01,3435.0,58.16178199173507,2116.871172919121,694.1627514243618,565.8042936647815
2010-04-01,3394.0,82.11049214472149,3102.437128471774,78.25306943429817,131.199309949206
2010-05-01,3480.0,84.74787283376484,2678.876617816589,331.6003355202236,384.7751738294226
2010-06-01,3520.0,93.0,2713.0,351.0,363.0
2010-07-01,3896.0,115.0295250320924,2939.754557124519,405.1039794608473,436.1119383825418
2010-08-01,3975.0,112.4242424242424,2874.848484848485,468.7689393939394,518.9583333333334
2010-09-01,3979.868249700296,95.66515920101497,2858.487994874988,478.3700534418762,547.3450421824176
2010-10-01,3400.0,80.3537770044947,2449.064810787299,399.3040452370596,471.2773669711469
2010-11-01,3460.0,74.17149478563151,2647.120509849362,349.8088064889919,388.8991888760139
2010-12-01,3625.0,68.98097076668505,2750.241312741313,379.8952013237728,425.8825151682295
2011-02-01,3136.0,65.56675642321959,2222.106718850798,405.0236726538358,443.3028520721463
2011-03-01,3888.0,66.01697967584255,2952.75945459223,384.0987908412657,485.1247748906611
2011-04-01,3768.0,84.11161307467447,2873.813446718044,379.5035875631146,430.571352644167
2011-05-01,3865.0,92.87984496124031,3008.108527131783,363.5297157622739,400.4819121447028
2011-06-01,3965.0,102.8443716947872,3049.38554520272,404.3880634600856,408.3820196424075
2011-07-01,4349.0,115.8934068458534,3288.974959797841,468.5690328509074,475.5626005053986
2011-08-01,4343.0,114.2633264699153,3165.590940288263,508.7202013269275,554.4255319148936
2011-09-01,3915.0,88.97727272727272,2795.286006128703,478.8776813074566,551.859039836568
2011-10-01,3797.0,77.06088560885608,2856.25672113864,408.3226146547179,455.359778597786
2011-11-01,3836.0,72.07927927927928,2938.464864864865,400.8792792792793,424.5765765765766
2011-12-01,3857.643185610139,87.26569008542022,2859.429135052305,470.2988617020488,440.6494987703654
2012-02-01,3863.0,63.29837520193573,2881.826103975388,425.5841178587992,492.2914029638766
2012-03-01,4160.0,67.0,3069.0,458.0,566.0
2012-04-01,3899.0,77.01975371985634,2909.746280143664,419.1074910210364,493.1264751154438
2012-05-01,4061.0,91.93208661417323,3129.687992125984,405.7002952755905,433.679625984252
2012-06-01,4136.0,106.0,3154.0,450.0,426.0
2012-07-01,4556.0,123.4041065967671,3384.656181738751,517.5010921799912,530.438619484491
2012-08-01,4495.0,112.9748665480427,3202.287588967971,566.8738879003558,612.8636565836299
2012-09-01,4051.0,92.93117908238777,2836.89911198816,524.611494819931,596.5582141095215
2012-10-01,3998.0,71.98199549887472,3005.24831207802,445.8884721180295,474.8812203050763
2012-11-01,4139.0,72.85917530745117,3155.900168796721,451.1280443694237,459.1126115264046
2012-12-01,4089.025125478578,88.96439393789942,3040.06370239953,500.9962263563589,459.0008027847904
2013-03-01,4241.0,60.92816768723505,3156.278850682996,458.4594912859162,565.3334903438531
2013-04-01,4165.0,81.01945244956772,3135.75288184438,458.1099903938521,490.1176753121998
2013-05-01,4269.0,91.95691875439007,3273.466401311168,442.7925544369,460.7841254975415
2013-06-01,4384.0,98.93229997720539,3318.728971962617,496.6601322087988,469.6785958513791
2013-07-01,4950.0,113.2287449392713,3665.404858299596,585.1821862348179,586.1842105263158
2013-08-01,5103.0,118.0231281850255,3577.70109760878,652.1277930223441,755.1479811838494
2013-09-01,4570.0,69.63663764233088,3193.337240455459,667.2873409243134,639.7387809778969
2013-10-01,4375.0,110.5263157894737,3254.385964912281,326.9736842105264,683.1140350877193
2013-11-01,4485.0,79.98216674097192,3443.232278198841,484.8918858671423,476.8936691930451
2013-12-01,4317.439516442449,97.7606376700742,3139.775123942673,566.8732973359023,513.0304574937998
2014-02-01,3835.0,57.02010057529035,2835.960982544961,457.5932600611166,484.4256568186317
2014-03-01,4544.0,61.0,3313.0,539.0,631.0
2014-04-01,4356.0,74.59623232618343,3195.73989008204,533.4806450181942,552.1832325735819
2014-05-01,4492.0,82.73401129943502,3405.798870056497,486.2526553672316,517.2144632768361
2014-06-01,4639.0,98.02112979732642,3482.750754635619,547.1179387667097,511.110176800345
2014-07-01,5097.0,122.0,3769.0,616.0,590.0
2014-08-01,5025.0,129.8707753479125,3517.5,662.3409542743539,715.2882703777336
2014-09-01,4570.0,95.95800524934383,3210.594925634296,615.7305336832895,647.7165354330708
2014-10-01,4508.0,70.0,3378.0,525.0,535.0
2014-11-01,4632.0,71.98445931361968,3538.236132095834,512.8892726095403,508.8901359810058
2014-12-01,4520.251028202459,93.14578236075906,3316.045605422341,580.625688685982,530.4339517333767
2015-02-01,3595.0,50.64993527716154,2632.36355621757,453.1521252934234,458.8343832118456
2015-03-01,4448.0,61.01371711266022,3179.714863953227,565.1270519451316,642.1443669889813
2015-04-01,4415.0,76.96513470681458,3224.539280054335,537.7563957437175,575.7391894951325
2015-05-01,4567.0,86.90485564304463,3423.252187226597,522.4280402449693,534.4149168853893
2015-06-01,4723.0,105.7090371621622,3500.365287162162,585.3887246621622,531.5369510135135
2015-07-01,5034.0,128.7697798929209,3651.471743010113,641.8524687685901,611.906008328376
2015-08-01,5124.0,134.2882847643262,3538.59651867788,717.5403872481909,733.574809309603
2015-09-01,4563.0,102.0,3128.0,650.0,683.0
2015-10-01,4491.0,72.98374888691006,3298.265583259127,552.876892252894,566.8737756010686
2015-11-01,4658.0,74.01589005797723,3472.745544341851,565.1213227399613,546.1172428602104
2015-12-01,4600.70745439228,86.17018651118353,3388.391753136183,599.2687804119367,526.8767343329769
2016-03-01,4762.0,67.01407267380802,3376.709094727998,615.1291745431631,703.1476580550304
2016-04-01,4569.0,86.0,3304.0,576.0,603.0
2016-05-01,4730.0,96.97949693510886,3525.254703022617,560.8814204185162,546.8843796237582
2016-07-01,5523.0,110.4761097658603,3956.364536961763,842.6913142489991,613.4680390233775
