date,forecast,ci80_lower,ci80_upper,ci95_lower,ci95_upper
2026-01-01,14486.878019450443,4089.4039836763095,24884.352055224575,-1434.254097828698,30408.010136729587
2026-02-01,13365.621679160058,2968.1476433859243,23763.095714934192,-2555.510438119083,29286.7537964392
2026-03-01,14616.772586642719,4219.298550868585,25014.246622416853,-1304.3595306364223,30537.90470392186
2026-04-01,14862.477267935823,4465.003232161689,25259.951303709957,-1058.6548493433183,30783.609385214964
2026-05-01,18462.05986696059,8064.585831186456,28859.53390273472,2540.9277496814484,34383.19198423973
2026-06-01,23193.337047926347,12795.863012152213,33590.81108370048,7272.204930647205,39114.46916520549
2026-07-01,16672.05188374761,6274.5778479734745,27069.525919521744,750.9197664684671,32593.184001026748
2026-08-01,16662.644917757018,6265.170881982884,27060.11895353115,741.5128004778762,32583.77703503616
2026-09-01,13704.315626154423,3306.841590380289,24101.789661928557,-2216.8164911247186,29625.447743433564
2026-10-01,19226.107111918478,8828.633076144344,29623.58114769261,3304.9749946393367,35147.23922919762
2026-11-01,15109.493462847136,4712.019427073003,25506.96749862127,-811.6386544320048,31030.625580126278
2026-12-01,15619.377415632698,5221.903379858564,26016.85145140683,-301.7547016464432,31540.50953291184
2027-01-01,15314.767317278496,4917.293281504362,25712.241353052632,-606.3648000006451,31235.899434557636
2027-02-01,14125.813688540598,3728.3396527664645,24523.28772431473,-1795.318428738543,30046.94580581974
2027-03-01,15444.204093666905,5046.730057892772,25841.67812944104,-476.92802361223585,31365.336210946047
2027-04-01,15699.867440106631,5302.393404332497,26097.341475880763,-221.26467717251035,31620.999557385774
2027-05-01,19497.39863791906,9099.924602144927,29894.872673693193,3576.2665206399197,35418.530755198204
2027-06-01,24487.952282289487,14090.478246515353,34885.42631806362,8566.820165010346,40409.08439956863
2027-07-01,17598.35062809094,7200.876592316805,27995.824663865074,1677.2185108117974,33519.48274537008
2027-08-01,17584.15442442368,7186.680388649545,27981.62846019781,1663.022307144538,33505.28654170282
